attractively	[əˈtræktɪvli]	một cách hấp dẫn
buoyancy	[ˈbɔɪənsi]	sự nổi bật
ambitious	[æmˈbɪʃəs]	đầy tham vọng
bold	[boʊld]	táo bạo
blossom	[ˈblɒsəm]	nở hoa
companionship	[kəmˈpænjənˌʃɪp]	tình bạn
alive	[əˈlaɪv]	sống động
ambrosial	[æmˈbroʊzɪəl]	ngon lành
astonishment	[əˈstɒnɪʃmənt]	sự ngạc nhiên
amusing	[əˈmjuːzɪŋ]	vui nhộn
amicable	[ˈæmɪkəbl]	thân thiện
appreciation	[əˌpriːʃiˈeɪʃən]	sự đánh giá cao
accord	[əˈkɔrd]	sự hòa thuận
admirable	[ˈædmərəbl]	đáng khen ngợi
bravery	[ˈbreɪvəri]	lòng gan dạ
confident	[ˈkɒnfɪdənt]	tự tin
abundantly	[əˈbʌndəntli]	một cách phong phú
abiding	[əˈbaɪdɪŋ]	lâu dài
composure	[kəmˈpoʊʒər]	sự điều độ
blissfulness	[ˈblɪsflnɪs]	sự hạnh phúc
curiosity	[ˌkjʊriˈɑːsəti]	sự tò mò
charismatic	[ˌkærɪzˈmætɪk]	hấp dẫn
adoration	[ˌædəˈreɪʃən]	sự sùng bái
adoring	[əˈdɔrɪŋ]	say mê
affirmation	[ˌæfərˈmeɪʃən]	sự khẳng định
calm	[kɑːm]	bình tĩnh
animated	[ˈænɪˌmeɪtɪd]	sôi nổi
agility	[əˈdʒɪləti]	sự nhanh nhẹn
clarity	[ˈklærɪti]	sự rõ ràng
astonishing	[əˈstɒnɪʃɪŋ]	đáng kinh ngạc
affectionately	[əˈfɛkʃənətli]	một cách âu yếm
calmly	[ˈkɑːmli]	một cách bình tĩnh
cooperative	[koʊˈɑːpərətɪv]	hợp tác
bountifulness	[ˈbaʊntɪfəlnəs]	sự phong phú
abloom	[əˈblum]	đang nở hoa
altruistic	[æltruˈɪstɪk]	hết lòng vì lợi ích của người khác
beaming	[ˈbiːmɪŋ]	tươi sáng
adaptability	[əˌdæptəˈbɪləti]	tính linh hoạt
content	[kənˈtɛnt]	hài lòng
awe-inspiring	[ɔːˈɪnspaɪrɪŋ]	gây kinh ngạc
cheerfulness	[ˈʧɪərfəlnɪs]	sự phấn khởi
carefree	[ˈkɛrˌfriː]	thoải mái
admirably	[ˈædmərəbli]	một cách đáng khen ngợi
boldness	[boʊldnəs]	sự táo bạo
affirmative	[əˈfɜːrmətɪv]	kẻ khẳng định
astounding	[əˈstaʊndɪŋ]	khó tin
bright	[braɪt]	sáng
confidence	[ˈkɒnfɪdəns]	lòng tự tin
attractive	[əˈtræktɪv]	hấp dẫn
brilliance	[ˈbrɪljəns]	sự xuất sắc
beatitude	[biˈætɪtjuːd]	sự hạnh phúc
amicability	[ˌæmɪkəˈbɪləti]	tính thân thiện
affection	[əˈfɛkʃən]	tình cảm
civility	[sɪˈvɪlɪti]	sự lịch sự
companion	[kəmˈpænjən]	bạn đồng hành
compassion	[kəmˈpæʃən]	lòng nhân ái
connection	[kəˈnɛkʃən]	mối quan hệ
caring	[ˈkɛrɪŋ]	sự chăm sóc
amused	[əˈmjuːzd]	vui vẻ
amusingly	[əˈmjuːzɪŋli]	một cách vui nhộn
considerate	[kənˈsɪdərɪt]	tận tâm
adaptable	[əˈdæptəbl]	linh hoạt
ardent	[ˈɑrdənt]	nồng nhiệt
blissfully	[ˈblɪsflɪ]	hạnh phúc
cherish	[ˈʧɛrɪʃ]	quý trọng
amicably	[ˈæmɪkəbli]	một cách thân thiện
community	[kəˈmjuːnəti]	cộng đồng
absorbed	[əbˈsɔrbd]	miệt mài
breathtaking	[ˈbrɛθˌteɪkɪŋ]	hấp dẫn đến kinh ngạc
creativity	[ˌkriːeɪˈtɪvəti]	sự sáng tạo
admirer	[ədˈmaɪrər]	người ngưỡng mộ
benevolence	[bɪˈnɛvələns]	lòng nhân ái
commitment	[kəˈmɪtmənt]	sự cam kết
brightness	[ˈbraɪtnɪs]	sự sáng
awesome	[ˈɔːsəm]	tuyệt vời
adorable	[əˈdɔrəbl]	dễ thương
celebratory	[ˈsɛləbrəˌtɔːri]	liên quan đến sự kỷ niệm
contentment	[kənˈtɛntmənt]	sự hài lòng
adventure	[ədˈvɛnʧər]	phiêu lưu
abundant	[əˈbʌndənt]	phong phú
authenticity	[ˌɔːθɛnˈtɪsɪti]	tính chân thực
champion	[ˈʧæmpɪən]	người chiến thắng
comforting	[ˈkʌmfərtɪŋ]	an ủi
blithe	[blaɪð]	vui vẻ
celebration	[ˌsɛlɪˈbreɪʃən]	sự kỷ niệm
abound	[əˈbaʊnd]	nhiều
admiration	[ˌædmɪˈreɪʃən]	sự ngưỡng mộ
breathe	[brɪð]	thở
amiable	[ˈeɪmiəbl]	dễ mến
courteous	[ˈkɜːrtiəs]	lịch sự
cheerful	[ˈʧɪərfəl]	lạc quan
concord	[ˈkɒŋkɔːrd]	sự hòa thuận
blessed	[blɛst]	phước lành
affectionate	[əˈfɛkʃənət]	ấm áp
abide	[əˈbaɪd]	tuân theo
aesthetic	[ɛsˈθɛtɪk]	thẩm mỹ
acclaimed	[əˈkleɪmd]	được hoan nghênh
acumen	[əˈkjuːmən]	sự sáng tạo
charming	[ˈʧɑːrmɪŋ]	quyến rũ
courageous	[kəˈreɪdʒəs]	lòng can đảm
beauty	[ˈbjuːti]	vẻ đẹp
abundance	[əˈbʌndəns]	sự phong phú
alacrity	[əˈlækərəti]	sự nhanh nhẹn
calmness	[ˈkɑːmnɪs]	sự bình tĩnh
creative	[kriˈeɪtɪv]	sáng tạo
artistic	[ɑrˈtɪstɪk]	nghệ thuật
courtesy	[ˈkɜːrtəsi]	lòng lịch sự
congratulation	[kənˌɡrætʃuˈleɪʃən]	lời chúc mừng
conscientious	[ˌkɒnʃiˈɛnʃəs]	tận tâm
beacon	[ˈbiːkən]	đèn hiệu
affluent	[ˈæflʊənt]	giàu có
ability	[əˈbɪləti]	khả năng
benevolent	[bɪˈnɛvələnt]	nhân ái
benevolently	[bɪˈnɛvələntli]	một cách nhân ái
amazement	[əˈmeɪzmənt]	sự kinh ngạc
captivating	[ˈkæptɪˌveɪtɪŋ]	hấp dẫn
cooperation	[koʊˌɑːpəˈreɪʃən]	sự hợp tác
amity	[ˈæmɪti]	tình bạn
apple	[ˈæpl]	quả táo
bliss	[blɪs]	niềm hạnh phúc
amazing	[əˈmeɪzɪŋ]	đặc sắc
angelic	[ænˈdʒɛlɪk]	thiên thần
awe	[ɔː]	sự sợ sệt
abandon	[əˈbændən]	từ bỏ
courage	[ˈkʌrɪdʒ]	lòng can đảm
agile	[ˈædʒaɪl]	nhanh nhẹn
comfort	[ˈkʌmfərt]	sự thoải mái
adventurous	[ədˈvɛnʧərəs]	phiêu lưu
blessedness	[ˈblɛsɪdnɪs]	sự phước lành
ambition	[æmˈbɪʃən]	hoài bão
accomplishment	[əˈkʌmplɪʃmənt]	thành tựu
balance	[ˈbæləns]	sự cân bằng
blissful	[ˈblɪsfl]	hạnh phúc
